Date;Full institution name;Commons category;Commons category URL;Category depth;Total images available;Distinct images used;Image reuse percentage;Distinct articles;Number of languages;Total usages;Average image reuse;HTML URL;Excel URL
04-09-2024;Nationaal Archief;Images from Nationaal Archief;https://commons.wikimedia.org/wiki/Category:Images_from_Nationaal_Archief;1;425.007;25.884;6,09;100.120;275;125.681;4,86;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ImagesfromNationaalArchief_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ImagesfromNationaalArchief_Wikipedia_NS0_04092024.xlsx
04-09-2024;Wereldmuseum Amsterdam;Images from the Tropenmuseum;https://commons.wikimedia.org/wiki/Category:Images_from_the_Tropenmuseum;5;57.516;9.014;15,67;20.289;194;29.958;3,32;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ImagesfromtheTropenmuseum_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ImagesfromtheTropenmuseum_Wikipedia_NS0_04092024.xlsx
04-09-2024;Rijksdienst voor het Cultureel Erfgoed;Images from the Rijksdienst voor het Cultureel Erfgoed;https://commons.wikimedia.org/wiki/Category:Images_from_the_Rijksdienst_voor_het_Cultureel_Erfgoed;3;486.346;23.471;4,83;15.341;129;31.955;1,36;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ImagesfromtheRijksdienstvoorhetCultureelErfgoed_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ImagesfromtheRijksdienstvoorhetCultureelErfgoed_Wikipedia_NS0_04092024.xlsx
04-09-2024;Van Gogh Museum;Collections of the Van Gogh Museum;https://commons.wikimedia.org/wiki/Category:Collections_of_the_Van_Gogh_Museum;5;3.247;1.119;34,46;7.257;159;14.839;13,26;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/CollectionsoftheVanGoghMuseum_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/CollectionsoftheVanGoghMuseum_Wikipedia_NS0_04092024.xlsx
04-09-2024;Beeld & Geluid;Media from Beeld en Geluid Wiki;https://commons.wikimedia.org/wiki/Category:Media_from_Beeld_en_Geluid_Wiki;1;3.113;1.480;47,54;6.353;167;7.551;5,10;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/MediafromBeeldenGeluidWiki_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/MediafromBeeldenGeluidWiki_Wikipedia_NS0_04092024.xlsx
04-09-2024;Universiteitsbibliotheek Leiden;Collections of Leiden University Library;https://commons.wikimedia.org/wiki/Category:Collections_of_Leiden_University_Library;5;194.097;3.397;1,75;6.306;168;8.288;2,44;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/CollectionsofLeidenUniversityLibrary_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/CollectionsofLeidenUniversityLibrary_Wikipedia_NS0_04092024.xlsx
04-09-2024;KB, nationale bibliotheek van Nederland;Media contributed by Koninklijke Bibliotheek;https://commons.wikimedia.org/wiki/Category:Media_contributed_by_Koninklijke_Bibliotheek;0;30.656;1.931;6,30;5.012;150;6.368;3,30;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/MediacontributedbyKoninklijkeBibliotheek_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/MediacontributedbyKoninklijkeBibliotheek_Wikipedia_NS0_04092024.xlsx
04-09-2024;Kröller-Müller Museum;Artwork in the Kröller-Müller Museum;https://commons.wikimedia.org/wiki/Category:Artwork_in_the_Kröller-Müller_Museum;4;1.383;612;44,25;2.466;141;5.575;9,11;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ArtworkintheKröller-MüllerMuseum_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ArtworkintheKröller-MüllerMuseum_Wikipedia_NS0_04092024.xlsx
04-09-2024;IISG;Images from IISG;https://commons.wikimedia.org/wiki/Category:Images_from_IISG;0;1.495;266;17,79;2.411;195;2.526;9,50;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ImagesfromIISG_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ImagesfromIISG_Wikipedia_NS0_04092024.xlsx
04-09-2024;Noord-Hollands Archief;Images from Noord-Hollands Archief;https://commons.wikimedia.org/wiki/Category:Images_from_Noord-Hollands_Archief;2;13.181;1.226;9,30;2.250;80;2.572;2,10;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/ImagesfromNoord-HollandsArchief_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/ImagesfromNoord-HollandsArchief_Wikipedia_NS0_04092024.xlsx
04-09-2024;Amsterdam Museum;Collections of the Amsterdam Museum;https://commons.wikimedia.org/wiki/Category:Collections_of_the_Amsterdam_Museum;7;27.854;932;3,35;1.976;98;2.512;2,70;https://kbnlwikimedia.github.io/GLAMorousToHTML/site/nde/CollectionsoftheAmsterdamMuseum_Wikipedia_NS0_04092024.html;https://kbnlwikimedia.github.io/GLAMorousToHTML/data/nde/CollectionsoftheAmsterdamMuseum_Wikipedia_NS0_04092024.xlsx
