imageUrl;title;description;wikipediaLink
http://commons.wikimedia.org/wiki/Special:FilePath/Marius%20J.%20Richters%20in%20z%27n%20atelier%20met%20z%27n%20werk%2C%201948.jpg;Marius Richters;Dutch painter (1878-1955);https://nl.wikipedia.org/wiki/Marius_Richters
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Emile%20Alexis%20Marie%20van%20der%20Kun.jpg;Emile Alexis Marie van der Kun;Dutch politician (1853-1914);https://nl.wikipedia.org/wiki/Emile_Alexis_Marie_van_der_Kun
http://commons.wikimedia.org/wiki/Special:FilePath/Marius%20Duintjer%2C%201937.jpg;Marius Duintjer;Dutch architect (1908–1983);https://nl.wikipedia.org/wiki/Marius_Duintjer
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Dirk%20Fock.jpg;Dirk Fock;Dutch leading politician (1858-1941);https://nl.wikipedia.org/wiki/Dirk_Fock_(1858-1941)
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Dirk%20Bos.jpg;Dirk Bos;Dutch politician (1862–1916);https://nl.wikipedia.org/wiki/Dirk_Bos
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Hendrik%20Goeman%20Borgesius.jpg;Hendrik Goeman Borgesius;Dutch politician (1847-1917);https://nl.wikipedia.org/wiki/Hendrik_Goeman_Borgesius
http://commons.wikimedia.org/wiki/Special:FilePath/Mikio%20Oda%2002.jpg;Mikio Oda;Japanese triple jumper, long jumper (track and field), coach, journalist (1905-1998);https://nl.wikipedia.org/wiki/Mikio_Oda
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Eerke%20Albert%20Smidt.jpg;Eerke Albert Smidt;Dutch politician (1858-1925);https://nl.wikipedia.org/wiki/Eerke_Albert_Smidt
http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20van%20Waning%20in%20z%27n%20Haagsche%20atelier%2C%201928.jpg;Martin van Waning;Dutch artist and painter (1887-1972);https://nl.wikipedia.org/wiki/Martin_van_Waning
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Isa%C3%A4c%20Dignus%20Fransen%20van%20de%20Putte.jpg;Isaäc Dignus Fransen van de Putte;Dutch politician (1822-1902);https://nl.wikipedia.org/wiki/Isa%C3%A4c_Dignus_Fransen_van_de_Putte
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Emilius%20Henricus%20Josephus%20Maria%20van%20Zinnicq%20Bergmann.jpg;Emilius Henricus Josephus Maria van Zinnicq Bergmann;politician (1847-1908);https://nl.wikipedia.org/wiki/Emilius_Henricus_Josephus_Maria_van_Zinnicq_Bergmann
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Herman%20Schaepman.jpg;Herman Schaepman;Dutch politician, author, poet, hymnwriter (1844-1903);https://nl.wikipedia.org/wiki/Herman_Schaepman
http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Spanjaard%20-%20Onze%20Musici%20%281923%29.jpg;Martin Spanjaard;Dutch conductor and composer (1892-1942);https://nl.wikipedia.org/wiki/Martin_Spanjaard
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Christiaan%20Lucasse.jpg;Christiaan Lucasse;Dutch politician and lawyer (1852-1926);https://nl.wikipedia.org/wiki/Christiaan_Lucasse
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Henri%20Fran%C3%A7ois%20Rudolf%20Hubrecht.jpg;Henri François Rudolf Hubrecht;Dutch politician (1844–1926);https://nl.wikipedia.org/wiki/Henri_Fran%C3%A7ois_Rudolf_Hubrecht
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Frans%20Jozef%20Bolsius.jpg;Frans Jozef Bolsius;Dutch lawyer and politician (1869-1951);https://nl.wikipedia.org/wiki/Frans_Bolsius
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Cornelis%20Herman%20den%20Hertog.jpg;Cornelis Herman den Hertog;Dutch teacher, linguist and politician;https://nl.wikipedia.org/wiki/Cornelis_Herman_den_Hertog
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Henri%20Marchant.jpg;Henri Marchant;Dutch lawyer and politician (1869-1956);https://nl.wikipedia.org/wiki/Henri_Marchant
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Floris%20Willem%20van%20Styrum.jpg;Floris Willem van Styrum;Dutch politician, lawyer and judge (1855-1929);https://nl.wikipedia.org/wiki/Floris_Willem_van_Styrum_(1855-1929)
http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Vierdag%2C%201932.jpg;Maria Vierdag;Dutch swimmer (1905-2005);https://nl.wikipedia.org/wiki/Rie_Vierdag
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Frederik%20Bernard%20s%27Jacob.jpg;Frederik Bernard s'Jacob;Dutch politician and engineer (1850-1935);https://nl.wikipedia.org/wiki/Frederik_Bernard_s%27Jacob_(1850-1935)
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Cornelis%20Pijnacker%20Hordijk.jpg;Cornelis Pijnacker Hordijk;Dutch politician (1847-1908);https://nl.wikipedia.org/wiki/Cornelis_Pijnacker_Hordijk
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Eduard%20Nicolaas%20Rahusen.jpg;Eduard Nicolaas Rahusen;Dutch lawyer and politician (1830-1913);https://nl.wikipedia.org/wiki/Eduard_Nicolaas_Rahusen
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Benjamin%20Marius%20Vlielander%20Hein.jpg;Benjamin Marius Vlielander Hein;Dutch politician (1838–1919);https://nl.wikipedia.org/wiki/Benjamin_Marius_Vlielander_Hein_(1838-1919)
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Hubert%20van%20Asch%20van%20Wijck.jpg;Hubert van Asch van Wijck;Dutch politician (1867-1935);https://nl.wikipedia.org/wiki/Hubert_van_Asch_van_Wijck
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Dirk%20de%20Klerk.jpg;Dirk de Klerk;Dutch politician (1852-1920);https://nl.wikipedia.org/wiki/Dirk_de_Klerk
http://commons.wikimedia.org/wiki/Special:FilePath/No%C3%A9%20Vern%C3%A8de.jpg;Noé Vernède;Dutch politician (1902-1977);https://nl.wikipedia.org/wiki/No%C3%A9_Vern%C3%A8de
http://commons.wikimedia.org/wiki/Special:FilePath/Martinus%20Wilhelm%20Petri%20-%20Onze%20Musici%20%281923%29.jpg;Martinus Wilhelm Petri;Dutch musician (1853-1924);https://nl.wikipedia.org/wiki/Martinus_Wilhelm_Petri
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Hendrik%20Seret.jpg;Hendrik Seret;politician (1845-1912);https://nl.wikipedia.org/wiki/Hendrik_Seret
http://commons.wikimedia.org/wiki/Special:FilePath/Onze%20Afgevaardigden%20%281901%29%20-%20Alphons%20Sassen%20van%20Vlierden.jpg;Alphons Sassen van Vlierden;politician (1844–1907);https://nl.wikipedia.org/wiki/Alphons_Sassen
http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Baron.jpg;Marie Baron;Dutch swimmer (1908–1948);https://nl.wikipedia.org/wiki/Marie_Baron
